id,taiwan,china_simplified,china_traditional,english,confidence,category,reason,domain,match_type,context_before,context_after,context_exclude,autofix_safe
path-variable,路徑變數,路径变量,路徑變量,path variable,0.90,mainland-term,台灣系統設定術語,tech,exact,,,,true
log,記錄,日志,日誌,log,0.85,mainland-term,台灣系統監控標準,tech,exact,,,,true
event-log,事件記錄,事件日志,事件日誌,event log,0.90,mainland-term,台灣系統監控標準,tech,exact,,,,true
system-log,系統記錄,系统日志,系統日誌,system log,0.90,mainland-term,台灣系統監控標準,tech,exact,,,,true
error-log,錯誤記錄,错误日志,錯誤日誌,error log,0.90,mainland-term,台灣系統監控標準,tech,exact,,,,true
crash,當機,崩溃,崩潰,crash,0.90,mainland-term,台灣系統錯誤類型,tech,exact,,,,true
hang,停止回應,挂起,掛起,hang,0.90,mainland-term,台灣系統錯誤類型,tech,exact,,,,true
freeze,凍結,冻结,凍結,freeze,0.85,mainland-term,台灣系統錯誤類型,tech,exact,,,,true
blue-screen,藍色畫面,蓝屏,藍屏,blue screen,0.90,mainland-term,台灣Windows錯誤,tech,exact,,,,true
kernel-panic,核心錯誤,内核恐慌,內核恐慌,kernel panic,0.90,mainland-term,台灣系統嚴重錯誤,tech,exact,,,,true
core-dump,核心傾印,核心转储,核心轉儲,core dump,0.90,mainland-term,台灣除錯技術術語,tech,exact,,,,true
stack-trace,堆疊追蹤,堆栈跟踪,堆棧跟蹤,stack trace,0.90,mainland-term,台灣除錯技術術語,tech,exact,,,,true
system-call,系統呼叫,系统调用,系統調用,system call,0.90,mainland-term,台灣系統程式設計,tech,exact,,,,true
library-os,函式庫,库,庫,library,0.85,mainland-term,台灣系統程式元件,tech,exact,,,,true
dynamic-library,動態函式庫,动态库,動態庫,dynamic library,0.90,mainland-term,台灣系統程式元件,tech,exact,,,,true
static-library,靜態函式庫,静态库,靜態庫,static library,0.90,mainland-term,台灣系統程式元件,tech,exact,,,,true
dll,動態連結程式庫,动态链接库,動態鏈接庫,DLL,0.90,mainland-term,台灣Windows系統元件,tech,exact,,,,true
shared-library,共用函式庫,共享库,共享庫,shared library,0.90,mainland-term,台灣Unix系統元件,tech,exact,,,,true
device-driver,裝置驅動程式,设备驱动程序,設備驅動程序,device driver,0.90,mainland-term,台灣系統硬體介面,tech,exact,,,,true
device-manager,裝置管理員,设备管理器,設備管理器,device manager,0.90,mainland-term,台灣系統管理工具,tech,exact,,,,true
task-manager,工作管理員,任务管理器,任務管理器,task manager,0.90,mainland-term,台灣系統監控工具,tech,exact,,,,true
control-panel,控制台,控制面板,控制面板,control panel,0.90,mainland-term,台灣系統設定介面,tech,exact,,,,true
system-tray,系統匣,系统托盘,系統托盤,system tray,0.90,mainland-term,台灣桌面元件術語,tech,exact,,,,true
notification-area,通知區域,通知区域,通知區域,notification area,0.85,mainland-term,台灣桌面元件術語,tech,exact,,,,true
clipboard-os,剪貼簿,剪贴板,剪貼板,clipboard,0.90,mainland-term,台灣系統功能術語,tech,exact,,,,true
recycle-bin,資源回收筒,回收站,回收站,recycle bin,0.90,mainland-term,台灣檔案管理術語,tech,exact,,,,true
restore-point,還原點,还原点,還原點,restore point,0.90,mainland-term,台灣系統復原術語,tech,exact,,,,true
system-restore,系統還原,系统还原,系統還原,system restore,0.90,mainland-term,台灣系統復原功能,tech,exact,,,,true
recovery-mode,復原模式,恢复模式,恢復模式,recovery mode,0.90,mainland-term,台灣系統修復術語,tech,exact,,,,true
compatibility-mode,相容性模式,兼容模式,兼容模式,compatibility mode,0.90,mainland-term,台灣系統相容術語,tech,exact,,,,true
virtual-machine,虛擬機器,虚拟机,虛擬機,virtual machine,0.90,mainland-term,台灣虛擬化技術,tech,exact,,,,true
hypervisor,虛擬機器監視器,虚拟机监视器,虛擬機監視器,hypervisor,0.90,mainland-term,台灣虛擬化技術,tech,exact,,,,true
container-os,容器,容器,容器,container,0.80,mainland-term,台灣虛擬化技術,tech,exact,,,,true
sandbox,沙箱,沙箱,沙箱,sandbox,0.85,mainland-term,台灣安全隔離技術,tech,exact,,,,true
emulator,模擬器,模拟器,模擬器,emulator,0.90,mainland-term,台灣系統模擬技術,tech,exact,,,,true
simulator,模擬器,仿真器,仿真器,simulator,0.85,mainland-term,台灣系統模擬技術,tech,exact,,,,true
virtualization-os,虛擬化,虚拟化,虛擬化,virtualization,0.95,mainland-term,台灣系統虛擬技術,tech,exact,,,,true
partition-table,分割表,分区表,分區表,partition table,0.90,mainland-term,台灣磁碟管理術語,tech,exact,,,,true
master-boot-record,主開機紀錄,主引导记录,主引導記錄,MBR,0.90,mainland-term,台灣開機系統術語,tech,exact,,,,true
gpt,GUID分割表,GUID分区表,GUID分區表,GPT,0.90,mainland-term,台灣磁碟分割標準,tech,exact,,,,true
file-allocation-table,檔案配置表,文件分配表,文件分配表,FAT,0.90,mainland-term,台灣檔案系統類型,tech,exact,,,,true
journaling,日誌式,日志式,日誌式,journaling,0.85,mainland-term,台灣檔案系統特性,tech,exact,,,,true
symbolic-link,符號連結,符号链接,符號鏈接,symbolic link,0.90,mainland-term,台灣檔案系統功能,tech,exact,,,,true
hard-link,實體連結,硬链接,硬鏈接,hard link,0.90,mainland-term,台灣檔案系統功能,tech,exact,,,,true
shortcut-os,捷徑,快捷方式,快捷方式,shortcut,0.90,mainland-term,台灣檔案系統功能,tech,exact,,,,true
alias,別名,别名,別名,alias,0.85,mainland-term,台灣檔案系統功能,tech,exact,,,,true
