id,taiwan,china_simplified,china_traditional,english,confidence,category,reason,domain,match_type,context_before,context_after,context_exclude,autofix_safe
parameter,參數,参数,參數,parameter,0.85,mainland-term,台灣程式設計標準,tech,exact,,,,true
pointer,指標,指针,指針,pointer,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
polymorphism,多型,多态,多態,polymorphism,0.90,mainland-term,台灣物件導向概念,tech,exact,,,,true
process,行程,进程,進程,process,0.90,mainland-term,台灣作業系統標準,tech,exact,,,,true
program,程式,程序,程序,program,0.95,mainland-term,台灣軟體開發標準,tech,context_sensitive,"軟體,代碼,程式碼,編寫,應用程式,電腦,開發,bug,安裝",,"法律,作業,標準,流程,手續,司法",false
queue,佇列,队列,隊列,queue,0.95,mainland-term,台灣資料結構標準,tech,exact,,,,true
recursion,遞迴,递归,遞歸,recursion,0.90,mainland-term,台灣程式設計技巧,tech,exact,,,,true
refactor,重構,重构,重構,refactor,0.90,mainland-term,台灣程式改進標準,tech,exact,,,,true
runtime,執行時期,运行时,運行時,runtime,0.85,mainland-term,台灣程式執行標準,tech,exact,,,,true
stack,堆疊,栈,棧,stack,0.90,mainland-term,台灣資料結構標準,tech,exact,,,,true
string,字串,字符串,字符串,string,0.95,mainland-term,台灣程式設計標準,tech,exact,,,,true
thread,執行緒,线程,線程,thread,0.95,mainland-term,台灣平行處理標準,tech,exact,,,,true
type,型別,类型,類型,type,0.90,mainland-term,台灣程式語言標準,tech,context_sensitive,"函式,参数,參數,變數,字面量,泛型,MIME,enum,列舉,回傳,返回,型別",,,true
variable,變數,变量,變量,variable,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
continuous-integration,持續整合,持续集成,持續集成,CI,0.90,mainland-term,台灣DevOps標準,tech,exact,,,,true
continuous-delivery,持續交付,持续交付,持續交付,CD,0.90,mainland-term,台灣DevOps標準,tech,exact,,,,true
repository,版本庫,仓库,倉庫,repository,0.90,mainland-term,台灣版本控制標準,tech,exact,,,,true
merge,合併,合并,合併,merge,0.85,mainland-term,台灣版本控制標準,tech,exact,,,,true
pull-request,拉取請求,拉取请求,拉取請求,pull request,0.90,mainland-term,台灣協作開發標準,tech,exact,,,,true
robustness,穩健性,鲁棒性,魯棒性,robustness,0.95,mainland-term,台灣標準意譯,tech,exact,,,,true
rollback,回溯,回滚,回滾,rollback,0.90,mainland-term,台灣版本控制標準,tech,exact,,,,true
unit-test,單元測試,单元测试,單元測試,unit test,0.90,mainland-term,台灣測試標準,tech,exact,,,,true
integration-test,整合測試,集成测试,集成測試,integration test,0.90,mainland-term,台灣測試標準,tech,exact,,,,true
regression-test,迴歸測試,回归测试,回歸測試,regression test,0.90,mainland-term,台灣測試標準,tech,exact,,,,true
mock,模擬,模拟,模擬,mock,0.85,mainland-term,台灣測試技術標準,tech,exact,,,,true
stub,樁,桩,樁,stub,0.90,mainland-term,台灣測試技術標準,tech,exact,,,,true
debugger,除錯器,调试器,調試器,debugger,0.90,mainland-term,台灣開發工具標準,tech,exact,,,,true
benchmark,基準測試,基准测试,基準測試,benchmark,0.90,mainland-term,台灣效能評測標準,tech,exact,,,,true
deadlock,死結,死锁,死鎖,deadlock,0.90,mainland-term,台灣並行程式標準,tech,exact,,,,true
race-condition,競爭條件,竞争条件,競爭條件,race condition,0.90,mainland-term,台灣並行程式標準,tech,exact,,,,true
mutex,互斥鎖,互斥锁,互斥鎖,mutex,0.90,mainland-term,台灣同步機制標準,tech,exact,,,,true
semaphore,號誌,信号量,信號量,semaphore,0.90,mainland-term,台灣同步機制標準,tech,exact,,,,true
memory-leak,記憶體洩漏,内存泄漏,內存泄漏,memory leak,0.90,mainland-term,台灣程式錯誤類型,tech,exact,,,,true
buffer-overflow,緩衝區溢位,缓冲区溢出,緩衝區溢出,buffer overflow,0.90,mainland-term,台灣安全漏洞類型,tech,exact,,,,true
segmentation-fault,區段錯誤,段错误,段錯誤,segmentation fault,0.90,mainland-term,台灣系統錯誤類型,tech,exact,,,,true
null-pointer,空指標,空指针,空指針,null pointer,0.90,mainland-term,台灣程式錯誤類型,tech,exact,,,,true
encapsulation,封裝,封装,封裝,encapsulation,0.85,mainland-term,台灣物件導向概念,tech,exact,,,,true
composition,組合,组合,組合,composition,0.80,mainland-term,台灣物件導向設計,tech,exact,,,,true
design-pattern,設計模式,设计模式,設計模式,design pattern,0.90,mainland-term,台灣軟體設計標準,tech,exact,,,,true
singleton,單例模式,单例模式,單例模式,singleton,0.90,mainland-term,台灣設計模式類型,tech,exact,,,,true
factory-pattern,工廠模式,工厂模式,工廠模式,factory pattern,0.90,mainland-term,台灣設計模式類型,tech,exact,,,,true
observer-pattern,觀察者模式,观察者模式,觀察者模式,observer pattern,0.90,mainland-term,台灣設計模式類型,tech,exact,,,,true
decorator-pattern,裝飾者模式,装饰器模式,裝飾器模式,decorator pattern,0.90,mainland-term,台灣設計模式類型,tech,exact,,,,true
mvc,MVC架構,MVC架构,MVC架構,MVC,0.85,mainland-term,台灣軟體架構模式,tech,exact,,,,true
mvvm,MVVM架構,MVVM架构,MVVM架構,MVVM,0.85,mainland-term,台灣軟體架構模式,tech,exact,,,,true
mvp,MVP架構,MVP架构,MVP架構,MVP,0.85,mainland-term,台灣軟體架構模式,tech,exact,,,,true
reactive-programming,響應式程式設計,响应式编程,響應式編程,reactive programming,0.90,mainland-term,台灣程式設計範式,tech,exact,,,,true
functional-programming,函數式程式設計,函数式编程,函數式編程,functional programming,0.90,mainland-term,台灣程式設計範式,tech,exact,,,,true
imperative-programming,指令式程式設計,命令式编程,命令式編程,imperative programming,0.90,mainland-term,台灣程式設計範式,tech,exact,,,,true
declarative-programming,宣告式程式設計,声明式编程,聲明式編程,declarative programming,0.90,mainland-term,台灣程式設計範式,tech,exact,,,,true
lambda-function,Lambda函式,Lambda函数,Lambda函數,lambda function,0.90,mainland-term,台灣函數式程式設計,tech,exact,,,,true
closure,閉包,闭包,閉包,closure,0.85,mainland-term,台灣程式語言特性,tech,exact,,,,true
promise,Promise物件,Promise对象,Promise對象,Promise,0.85,mainland-term,台灣非同步程式設計,tech,exact,,,,true
generator,產生器,生成器,生成器,generator,0.85,mainland-term,台灣程式語言特性,tech,exact,,,,true
regex,正規表示式,正则表达式,正則表達式,regex,0.90,mainland-term,台灣文字處理標準,tech,exact,,,,true
lexical-analysis,詞法分析,词法分析,詞法分析,lexical analysis,0.90,mainland-term,台灣編譯器技術,tech,exact,,,,true
syntax-analysis,語法分析,语法分析,語法分析,syntax analysis,0.90,mainland-term,台灣編譯器技術,tech,exact,,,,true
semantic-analysis,語意分析,语义分析,語義分析,semantic analysis,0.90,mainland-term,台灣編譯器技術,tech,exact,,,,true
agile,敏捷開發,敏捷开发,敏捷開發,Agile,0.90,mainland-term,台灣軟體開發方法,tech,exact,,,,true
waterfall,瀑布式開發,瀑布式开发,瀑布式開發,waterfall,0.85,mainland-term,台灣傳統開發模式,tech,exact,,,,true
tdd,測試驅動開發,测试驱动开发,測試驅動開發,TDD,0.90,mainland-term,台灣開發方法論,tech,exact,,,,true
bdd,行為驅動開發,行为驱动开发,行為驅動開發,BDD,0.90,mainland-term,台灣開發方法論,tech,exact,,,,true
ddd,領域驅動設計,领域驱动设计,領域驅動設計,DDD,0.90,mainland-term,台灣軟體設計方法,tech,exact,,,,true
solid,SOLID原則,SOLID原则,SOLID原則,SOLID,0.85,mainland-term,台灣物件導向設計原則,tech,exact,,,,true
dry,DRY原則,DRY原则,DRY原則,DRY,0.85,mainland-term,台灣程式設計原則,tech,exact,,,,true
kiss,KISS原則,KISS原则,KISS原則,KISS,0.85,mainland-term,台灣設計簡化原則,tech,exact,,,,true
yagni,YAGNI原則,YAGNI原则,YAGNI原則,YAGNI,0.85,mainland-term,台灣極限程式設計原則,tech,exact,,,,true
orm,物件關聯對映,对象关系映射,對象關係映射,ORM,0.90,mainland-term,台灣資料庫抽象層,tech,exact,,,,true
artificial-intelligence,人工智慧,人工智能,人工智能,AI,0.95,mainland-term,台灣人工智慧標準用語,tech,exact,,,,true
nested,巢狀,嵌套,嵌套,nested,0.90,mainland-term,台灣程式設計標準用語,tech,exact,,,,true
traverse,走訪,遍历,遍歷,traverse,0.90,mainland-term,台灣資料結構標準用語,tech,exact,,,,true
middleware,中介軟體,中间件,中間件,middleware,0.90,mainland-term,台灣軟體架構標準用語,tech,exact,,,,true
project,專案,项目,項目,project,0.90,mainland-term,台灣專案管理標準用語,tech,exact,,,,true
assembly-language,組合語言,汇编语言,匯編語言,assembly language,0.90,mainland-term,台灣程式語言標準,tech,exact,,,,true
assert,宣告,断言,斷言,assert,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
base-class,基底類別,基类,基類,base class,0.90,mainland-term,台灣物件導向標準,tech,exact,,,,true
batch-processing,批次處理,批处理,批處理,batch processing,0.90,mainland-term,台灣資料處理標準,tech,exact,,,,true
binary-operator,二元運算子,二元运算符,二元運算符,binary operator,0.90,mainland-term,台灣程式語言標準,tech,exact,,,,true
bind,繫結,绑定,綁定,bind,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
breakpoint,中斷點,断点,斷點,breakpoint,0.90,mainland-term,台灣除錯工具標準,tech,exact,,,,true
built-in,內建,内置,內置,built-in,0.90,mainland-term,台灣程式語言標準,tech,exact,,,,true
compatibility,相容性,兼容性,兼容性,compatibility,0.90,mainland-term,台灣軟體標準,tech,exact,,,,true
constant,常數,常量,常量,constant,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
crash,當機,崩溃,崩潰,crash,0.90,mainland-term,台灣系統錯誤標準,tech,exact,,,,true
delegate,委派,委托,委托,delegate,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
dependency,相依性,依赖,依賴,dependency,0.90,mainland-term,台灣軟體架構標準,tech,exact,,,,true
derived-class,衍生類別,派生类,派生類,derived class,0.90,mainland-term,台灣物件導向標準,tech,exact,,,,true
destructor,解構式,析构函数,析構函數,destructor,0.90,mainland-term,台灣物件導向標準,tech,exact,,,,true
expression,運算式,表达式,表達式,expression,0.90,mainland-term,台灣程式語言標準,tech,exact,,,,true
handle,控制代碼,句柄,句柄,handle,0.90,mainland-term,台灣系統程式標準,tech,exact,,,,true
hierarchy,階層,层次结构,層次結構,hierarchy,0.90,mainland-term,台灣資料結構標準,tech,exact,,,,true
identifier,識別字,标识符,標識符,identifier,0.90,mainland-term,台灣程式語言標準,tech,exact,,,,true
implicit,隱含的,隐式,隱式,implicit,0.90,mainland-term,台灣程式語言標準,tech,exact,,,,true
inline,行內,内联,內聯,inline,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
interpreter,直譯器,解释器,解釋器,interpreter,0.90,mainland-term,台灣程式語言工具,tech,exact,,,,true
lazy-loading,惰性載入,延迟加载,延遲加載,lazy loading,0.90,mainland-term,台灣效能最佳化標準,tech,exact,,,,true
linker,連結器,链接器,鏈接器,linker,0.90,mainland-term,台灣程式語言工具,tech,exact,,,,true
literals,字面值,字面量,字面量,literals,0.90,mainland-term,台灣程式語言標準,tech,exact,,,,true
local-variable,區域變數,局部变量,局部變量,local variable,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
modifier,修飾子,修饰符,修飾符,modifier,0.90,mainland-term,台灣程式語言標準,tech,exact,,,,true
operand,運算元,操作数,操作數,operand,0.90,mainland-term,台灣程式語言標準,tech,exact,,,,true
operator-symbol,運算子,运算符,運算符,operator,0.90,mainland-term,台灣程式語言標準,tech,exact,,,,true
overload,多載,重载,重載,overload,0.90,mainland-term,台灣物件導向標準,tech,exact,,,,true
override,覆寫,覆盖,覆蓋,override,0.90,mainland-term,台灣物件導向標準,tech,exact,,,,true
pseudo-code,虛擬碼,伪代码,偽代碼,pseudo code,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
read-only,唯讀,只读,只讀,read-only,0.90,mainland-term,台灣系統標準,tech,exact,,,,true
scope,有效範圍,作用域,作用域,scope,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
source-code,原始碼,源代码,源代碼,source code,0.90,mainland-term,台灣軟體開發標準,tech,exact,,,,true
statement,敘述,语句,語句,statement,0.90,mainland-term,台灣程式語言標準,tech,exact,,,,true
subclass,子類別,子类,子類,subclass,0.90,mainland-term,台灣物件導向標準,tech,exact,,,,true
subroutine,副程式,子例程,子例程,subroutine,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
superclass,父類別,超类,超類,superclass,0.90,mainland-term,台灣物件導向標準,tech,exact,,,,true
token-auth,代號,令牌,令牌,token,0.90,mainland-term,台灣資安標準,tech,exact,,,,true
wildcard,萬用字元,通配符,通配符,wildcard,0.90,mainland-term,台灣系統標準,tech,exact,,,,true
advanced,進階,高级,高級,advanced,0.85,mainland-term,台灣系統設定標準,tech,context_sensitive,"設定,選項,模式,功能,搜尋,篩選,系統,使用者",,"餐廳,料理,品牌,服飾,住宅",false
command-line,指令,命令,命令,command,0.85,mainland-term,台灣系統操作標準,tech,context_sensitive,"行,列,終端,shell,bash,CLI,系統,提示字元,執行",,"軍事,長官,部隊,發布命令,服從",false
communication-tech,通訊,通信,通信,communication,0.85,mainland-term,台灣網路通訊標準,tech,context_sensitive,"網路,協定,TCP,無線,API,socket,埠,傳輸",,"書信,地址,郵件,筆友",false
detect,偵測,检测,檢測,detect,0.85,mainland-term,台灣程式設計標準,tech,context_sensitive,"程式,系統,錯誤,病毒,漏洞,掃描,防火牆,入侵",,"醫學,健康,食品,體檢,血液",false
device,裝置,设备,設備,device,0.85,mainland-term,台灣硬體標準,tech,context_sensitive,"硬體,驅動,USB,藍牙,周邊,行動,連接,安裝",,"消防,健身,工廠,廚房,實驗室",false
interact,互動,交互,交互,interact,0.90,mainland-term,台灣介面設計標準,tech,exact,,,,true
navigate,導覽,导航,導航,navigate,0.85,mainland-term,台灣介面設計標準,tech,context_sensitive,"介面,頁面,路由,網站,選單,UI,列,元件",,"GPS,衛星,航海,地圖導航",false
return-value,回傳,返回,返回,return,0.85,mainland-term,台灣程式設計標準,tech,context_sensitive,"函式,值,結果,型別,void,null,回傳,參數",,"原地,首頁,座位,出發點",false
text-content,文字,文本,文本,text,0.85,mainland-term,台灣介面設計標準,tech,context_sensitive,"框,編輯,輸入,欄位,NLP,處理,分析,mining",,"課本,教材,文本分析",false
